"Year","Value","Range","StdDev","EarliestTrans","LatestTrans","FisheryCode","FileName","Gear","Region"
2016,163400,28500,15500,"2015-11","2016-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2015,250000,150000,46450,"2015-02","2015-11","S 01A","x_s01a.htm","Purse Seine","Southeast"
2014,307000,25000,10350,"2014-03","2014-09","S 01A","x_s01a.htm","Purse Seine","Southeast"
2013,300800,90000,21300,"2013-01","2013-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2012,236000,40000,14700,"2012-02","2012-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2011,129500,85000,14900,"2011-01","2011-11","S 01A","x_s01a.htm","Purse Seine","Southeast"
2010,87400,62000,21600,"2010-01","2010-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2009,72800,18000,5100,"2009-02","2009-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2008,67800,16500,5000,"2008-03","2008-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2007,59700,27000,7350,"2007-01","2007-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2006,52900,35000,7650,"2006-01","2006-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2005,41800,21000,5200,"2005-01","2005-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2004,32100,10000,3450,"2004-05","2004-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2003,32800,12500,5100,"2003-02","2003-11","S 01A","x_s01a.htm","Purse Seine","Southeast"
2002,22800,14000,4150,"2002-01","2002-12","S 01A","x_s01a.htm","Purse Seine","Southeast"
2001,34700,19500,5300,"2001-01","2001-10","S 01A","x_s01a.htm","Purse Seine","Southeast"
2000,39300,17000,3750,NA,NA,"S 01A","x_s01a.htm","Purse Seine","Southeast"
1999,40400,25000,5350,NA,NA,"S 01A","x_s01a.htm","Purse Seine","Southeast"
1998,49500,28000,6650,NA,NA,"S 01A","x_s01a.htm","Purse Seine","Southeast"
